Numbers 34:8	25	mark	john-mark	john-mark
Numbers 34:10	12	mark	john-mark	john-mark
Numbers 34:13	0	Moses	moses	moses
Numbers 34:14	186	Manasseh	-	manasseh-king-of-judah
Numbers 34:16	16	Moses	moses	moses
Numbers 34:17	82	Eleazar	-	eleazar-in-jesus-genealogy
Numbers 34:17	106	Joshua	joshua	joshua
Numbers 34:19	55	Caleb	caleb	caleb
Numbers 34:20	32	Simeon	-	simeon-at-the-temple
Numbers 34:23	19	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Numbers 34:23	59	Manasseh	-	manasseh-king-of-judah
Numbers 35:1	16	Moses	moses	moses
Numbers 35:9	16	Moses	moses	moses
Numbers 36:1	108	Manasseh	-	manasseh-king-of-judah
Numbers 36:1	149	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Numbers 36:1	185	Moses	moses	moses
Numbers 36:5	0	Moses	moses	moses
Numbers 36:5	101	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Numbers 36:10	52	Moses	moses	moses
Numbers 36:11	40	Noah	noah	noah
Numbers 36:12	51	Manasseh	-	manasseh-king-of-judah
Numbers 36:12	71	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Numbers 36:13	72	Moses	moses	moses
Deuteronomy 1:1	26	Moses	moses	moses
Deuteronomy 1:3	76	Moses	moses	moses
Deuteronomy 1:5	40	Moses	moses	moses
Deuteronomy 1:8	106	Abraham	abraham	abraham
Deuteronomy 1:8	118	Isaac	isaac	isaac
Deuteronomy 1:8	132	Jacob	jacob	jacob
Deuteronomy 1:36	7	Caleb	caleb	caleb
Deuteronomy 1:38	0	Joshua	joshua	joshua
Deuteronomy 2:4	97	Esau	esau	esau
Deuteronomy 2:5	160	Esau	esau	esau
Deuteronomy 2:8	50	Esau	esau	esau
Deuteronomy 2:12	59	Esau	esau	esau
Deuteronomy 2:22	30	Esau	esau	esau
Deuteronomy 2:29	19	Esau	esau	esau
Deuteronomy 3:13	87	Manasseh	-	manasseh-king-of-judah
Deuteronomy 3:14	16	Manasseh	-	manasseh-king-of-judah
Deuteronomy 3:21	12	Joshua	joshua	joshua
Deuteronomy 3:28	15	Joshua	joshua	joshua
Deuteronomy 4:41	5	Moses	moses	moses
Deuteronomy 4:44	22	Moses	moses	moses
Deuteronomy 4:45	71	Moses	moses	moses
Deuteronomy 4:46	127	Moses	moses	moses
Deuteronomy 5:1	0	Moses	moses	moses
Deuteronomy 6:10	94	Abraham	abraham	abraham
Deuteronomy 6:10	106	Isaac	isaac	isaac
Deuteronomy 6:10	120	Jacob	jacob	jacob
Deuteronomy 9:5	269	Abraham	abraham	abraham
Deuteronomy 9:5	281	Isaac	isaac	isaac
Deuteronomy 9:5	295	Jacob	jacob	jacob
Deuteronomy 9:20	29	Aaron	aaron	aaron
Deuteronomy 9:20	64	Aaron	aaron	aaron
Deuteronomy 9:27	24	Abraham	abraham	abraham
Deuteronomy 9:27	33	Isaac	isaac	isaac
Deuteronomy 9:27	44	Jacob	jacob	jacob
Deuteronomy 10:6	76	Aaron	aaron	aaron
Deuteronomy 10:6	117	Eleazar	-	eleazar-in-jesus-genealogy
Deuteronomy 10:8	43	Levi	-	matthew-levi
Deuteronomy 10:9	10	Levi	-	matthew-levi
Deuteronomy 18:1	42	Levi	-	matthew-levi
Deuteronomy 21:5	24	Levi	-	matthew-levi
Deuteronomy 23:4	130	Balaam	balaam	balaam
Deuteronomy 23:5	48	Balaam	balaam	balaam
Deuteronomy 24:9	37	Miriam	miriam	miriam
Deuteronomy 27:1	0	Moses	moses	moses
Deuteronomy 27:9	0	Moses	moses	moses
Deuteronomy 27:11	0	Moses	moses	moses
Deuteronomy 27:12	96	Simeon	-	simeon-at-the-temple
Deuteronomy 27:12	104	Levi	-	matthew-levi
Deuteronomy 27:12	127	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Deuteronomy 29:1	59	Moses	moses	moses
Deuteronomy 29:2	0	Moses	moses	moses
Deuteronomy 29:13	132	Abraham	abraham	abraham
Deuteronomy 29:13	144	Isaac	isaac	isaac
Deuteronomy 29:13	158	Jacob	jacob	jacob
Deuteronomy 30:20	185	Abraham	abraham	abraham
Deuteronomy 30:20	197	Isaac	isaac	isaac
Deuteronomy 30:20	211	Jacob	jacob	jacob
Deuteronomy 31:1	0	Moses	moses	moses
Deuteronomy 31:3	127	Joshua	joshua	joshua
Deuteronomy 31:7	0	Moses	moses	moses
Deuteronomy 31:7	16	Joshua	joshua	joshua
Deuteronomy 31:9	0	Moses	moses	moses
Deuteronomy 31:9	66	Levi	-	matthew-levi
Deuteronomy 31:10	0	Moses	moses	moses
Deuteronomy 31:14	15	Moses	moses	moses
Deuteronomy 31:14	74	Joshua	joshua	joshua
Deuteronomy 31:14	157	Moses	moses	moses
Deuteronomy 31:14	167	Joshua	joshua	joshua
Deuteronomy 31:16	15	Moses	moses	moses
Deuteronomy 31:22	3	Moses	moses	moses
Deuteronomy 31:23	16	Joshua	joshua	joshua
Deuteronomy 31:24	5	Moses	moses	moses
Deuteronomy 31:25	0	Moses	moses	moses
Deuteronomy 31:30	0	Moses	moses	moses
Deuteronomy 32:9	36	Jacob	jacob	jacob
Deuteronomy 32:44	0	Moses	moses	moses
Deuteronomy 32:44	82	Joshua	joshua	joshua
Deuteronomy 32:45	0	Moses	moses	moses
Deuteronomy 32:48	16	Moses	moses	moses
Deuteronomy 32:50	72	Aaron	aaron	aaron
Deuteronomy 33:1	32	Moses	moses	moses
Deuteronomy 33:4	0	Moses	moses	moses
Deuteronomy 33:4	61	Jacob	jacob	jacob
Deuteronomy 33:8	6	Levi	-	matthew-levi
Deuteronomy 33:10	17	Jacob	jacob	jacob
Deuteronomy 33:13	6	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Deuteronomy 33:16	128	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Deuteronomy 33:17	214	Manasseh	-	manasseh-king-of-judah
Deuteronomy 33:28	41	Jacob	jacob	jacob
Deuteronomy 34:1	0	Moses	moses	moses
Deuteronomy 34:2	46	Manasseh	-	manasseh-king-of-judah
Deuteronomy 34:4	55	Abraham	abraham	abraham
Deuteronomy 34:4	67	Isaac	isaac	isaac
Deuteronomy 34:4	81	Jacob	jacob	jacob
Deuteronomy 34:5	3	Moses	moses	moses
Deuteronomy 34:7	0	Moses	moses	moses
Deuteronomy 34:8	32	Moses	moses	moses
Deuteronomy 34:8	119	Moses	moses	moses
Deuteronomy 34:9	0	Joshua	joshua	joshua
Deuteronomy 34:9	60	Moses	moses	moses
Deuteronomy 34:9	161	Moses	moses	moses
Deuteronomy 34:10	58	Moses	moses	moses
Deuteronomy 34:12	64	Moses	moses	moses
Joshua 1:1	23	Moses	moses	moses
Joshua 1:1	68	Joshua	joshua	joshua
Joshua 1:1	91	Moses	moses	moses
Joshua 1:2	1	Moses	moses	moses
Joshua 1:3	81	Moses	moses	moses
Joshua 1:5	81	Moses	moses	moses
Joshua 1:7	96	Moses	moses	moses
Joshua 1:10	5	Joshua	joshua	joshua
Joshua 1:12	0	Joshua	joshua	joshua
Joshua 1:12	77	Manasseh	-	manasseh-king-of-judah
Joshua 1:13	25	Moses	moses	moses
Joshua 1:14	79	Moses	moses	moses
Joshua 1:15	212	Moses	moses	moses
Joshua 1:16	14	Joshua	joshua	joshua
Joshua 1:17	23	Moses	moses	moses
Joshua 1:17	123	Moses	moses	moses
Joshua 2:1	0	Joshua	joshua	joshua
Joshua 2:1	182	Rahab	rahab	rahab
Joshua 2:3	23	Rahab	rahab	rahab
Joshua 2:23	87	Joshua	joshua	joshua
Joshua 2:24	13	Joshua	joshua	joshua
Joshua 3:1	0	Joshua	joshua	joshua
Joshua 3:5	0	Joshua	joshua	joshua
Joshua 3:6	0	Joshua	joshua	joshua
Joshua 3:7	15	Joshua	joshua	joshua
Joshua 3:7	124	Moses	moses	moses
Joshua 3:9	0	Joshua	joshua	joshua
Joshua 3:10	0	Joshua	joshua	joshua
Joshua 3:16	90	Adam	adam	adam
Joshua 4:1	76	Joshua	joshua	joshua
Joshua 4:4	5	Joshua	joshua	joshua
Joshua 4:5	0	Joshua	joshua	joshua
Joshua 4:8	30	Joshua	joshua	joshua
Joshua 4:8	126	Joshua	joshua	joshua
Joshua 4:9	0	Joshua	joshua	joshua
Joshua 4:10	120	Joshua	joshua	joshua
Joshua 4:10	173	Moses	moses	moses
Joshua 4:10	189	Joshua	joshua	joshua
Joshua 4:12	71	Manasseh	-	manasseh-king-of-judah
Joshua 4:12	134	Moses	moses	moses
Joshua 4:14	30	Joshua	joshua	joshua
Joshua 4:14	101	Moses	moses	moses
Joshua 4:15	16	Joshua	joshua	joshua
Joshua 4:17	0	Joshua	joshua	joshua
Joshua 4:20	0	Joshua	joshua	joshua
Joshua 5:2	29	Joshua	joshua	joshua
Joshua 5:3	0	Joshua	joshua	joshua
Joshua 5:4	19	Joshua	joshua	joshua
Joshua 5:7	70	Joshua	joshua	joshua
Joshua 5:9	15	Joshua	joshua	joshua
Joshua 5:13	5	Joshua	joshua	joshua
Joshua 5:13	136	Joshua	joshua	joshua
Joshua 5:14	66	Joshua	joshua	joshua
Joshua 5:15	36	Joshua	joshua	joshua
Joshua 5:15	122	Joshua	joshua	joshua
Joshua 6:2	15	Joshua	joshua	joshua
Joshua 6:5	54	ram	-	ram-son-of-hezron
Joshua 6:6	0	Joshua	joshua	joshua
Joshua 6:8	21	Joshua	joshua	joshua
Joshua 6:10	0	Joshua	joshua	joshua
Joshua 6:12	0	Joshua	joshua	joshua
Joshua 6:16	57	Joshua	joshua	joshua
Joshua 6:17	74	Rahab	rahab	rahab
Joshua 6:22	0	Joshua	joshua	joshua
Joshua 6:23	54	Rahab	rahab	rahab
Joshua 6:25	4	Rahab	rahab	rahab
Joshua 6:25	72	Joshua	joshua	joshua
Joshua 6:25	176	Joshua	joshua	joshua
Joshua 6:26	0	Joshua	joshua	joshua
Joshua 6:27	19	Joshua	joshua	joshua
Joshua 7:1	129	Zerah	zerah-son-of-judah	zerah-son-of-judah
Joshua 7:2	0	Joshua	joshua	joshua
Joshua 7:3	17	Joshua	joshua	joshua
Joshua 7:6	0	Joshua	joshua	joshua
Joshua 7:7	0	Joshua	joshua	joshua
Joshua 7:10	15	Joshua	joshua	joshua
Joshua 7:16	3	Joshua	joshua	joshua
Joshua 7:18	100	Zerah	zerah-son-of-judah	zerah-son-of-judah
Joshua 7:19	0	Joshua	joshua	joshua
Joshua 7:20	15	Joshua	joshua	joshua
Joshua 7:22	3	Joshua	joshua	joshua
Joshua 7:23	64	Joshua	joshua	joshua
Joshua 7:24	0	Joshua	joshua	joshua
Joshua 7:24	55	Zerah	zerah-son-of-judah	zerah-son-of-judah
Joshua 7:25	0	Joshua	joshua	joshua
Joshua 8:1	15	Joshua	joshua	joshua
Joshua 8:3	3	Joshua	joshua	joshua
Joshua 8:3	56	Joshua	joshua	joshua
Joshua 8:9	0	Joshua	joshua	joshua
Joshua 8:9	120	Joshua	joshua	joshua
Joshua 8:10	0	Joshua	joshua	joshua
Joshua 8:13	122	Joshua	joshua	joshua
Joshua 8:15	0	Joshua	joshua	joshua
Joshua 8:16	92	Joshua	joshua	joshua
Joshua 8:18	15	Joshua	joshua	joshua
Joshua 8:18	116	Joshua	joshua	joshua
Joshua 8:21	5	Joshua	joshua	joshua
Joshua 8:23	55	Joshua	joshua	joshua
Joshua 8:26	4	Joshua	joshua	joshua
Joshua 8:27	120	Joshua	joshua	joshua
Joshua 8:28	3	Joshua	joshua	joshua
Joshua 8:29	69	Joshua	joshua	joshua
Joshua 8:30	5	Joshua	joshua	joshua
Joshua 8:31	3	Moses	moses	moses
Joshua 8:32	39	Moses	moses	moses
Joshua 8:33	283	Moses	moses	moses
Joshua 8:35	33	Moses	moses	moses
Joshua 8:35	56	Joshua	joshua	joshua
Joshua 9:2	48	Joshua	joshua	joshua
Joshua 9:3	46	Joshua	joshua	joshua
Joshua 9:6	13	Joshua	joshua	joshua
Joshua 9:8	13	Joshua	joshua	joshua
Joshua 9:8	45	Joshua	joshua	joshua
Joshua 9:15	0	Joshua	joshua	joshua
Joshua 9:22	0	Joshua	joshua	joshua
Joshua 9:24	14	Joshua	joshua	joshua
Joshua 9:24	117	Moses	moses	moses
Joshua 9:27	9	Joshua	joshua	joshua
Joshua 10:1	49	Joshua	joshua	joshua
Joshua 10:4	80	Joshua	joshua	joshua
Joshua 10:6	26	Joshua	joshua	joshua
Joshua 10:7	3	Joshua	joshua	joshua
Joshua 10:8	15	Joshua	joshua	joshua
Joshua 10:9	0	Joshua	joshua	joshua
Joshua 10:12	5	Joshua	joshua	joshua
Joshua 10:15	0	Joshua	joshua	joshua
Joshua 10:17	0	Joshua	joshua	joshua
Joshua 10:18	0	Joshua	joshua	joshua
Joshua 10:20	5	Joshua	joshua	joshua
Joshua 10:21	39	Joshua	joshua	joshua
Joshua 10:22	5	Joshua	joshua	joshua
Joshua 10:24	37	Joshua	joshua	joshua
Joshua 10:24	45	Joshua	joshua	joshua
Joshua 10:25	0	Joshua	joshua	joshua
Joshua 10:26	10	Joshua	joshua	joshua
Joshua 10:27	42	Joshua	joshua	joshua
Joshua 10:28	0	Joshua	joshua	joshua
Joshua 10:29	0	Joshua	joshua	joshua
Joshua 10:31	0	Joshua	joshua	joshua
Joshua 10:33	54	Joshua	joshua	joshua
Joshua 10:34	0	Joshua	joshua	joshua
Joshua 10:36	0	Joshua	joshua	joshua
Joshua 10:38	0	Joshua	joshua	joshua
Joshua 10:40	3	Joshua	joshua	joshua
Joshua 10:41	0	Joshua	joshua	joshua
Joshua 10:42	0	Joshua	joshua	joshua
Joshua 10:43	0	Joshua	joshua	joshua
Joshua 11:6	15	Joshua	joshua	joshua
Joshua 11:7	3	Joshua	joshua	joshua
Joshua 11:9	0	Joshua	joshua	joshua
Joshua 11:10	0	Joshua	joshua	joshua
Joshua 11:12	0	Joshua	joshua	joshua
Joshua 11:12	143	Moses	moses	moses
Joshua 11:13	97	Joshua	joshua	joshua
Joshua 11:15	20	Moses	moses	moses
Joshua 11:15	42	Moses	moses	moses
Joshua 11:15	58	Joshua	joshua	joshua
Joshua 11:15	66	Joshua	joshua	joshua
Joshua 11:15	133	Moses	moses	moses
Joshua 11:16	3	Joshua	joshua	joshua
Joshua 11:18	0	Joshua	joshua	joshua
Joshua 11:20	198	Moses	moses	moses
Joshua 11:21	0	Joshua	joshua	joshua
Joshua 11:21	189	Joshua	joshua	joshua
Joshua 11:23	3	Joshua	joshua	joshua
Joshua 11:23	69	Moses	moses	moses
Joshua 11:23	80	Joshua	joshua	joshua
Joshua 12:6	0	Moses	moses	moses
Joshua 12:6	68	Moses	moses	moses
Joshua 12:6	179	Manasseh	-	manasseh-king-of-judah
Joshua 12:7	37	Joshua	joshua	joshua
Joshua 12:7	188	Joshua	joshua	joshua
Joshua 13:1	4	Joshua	joshua	joshua
Joshua 13:7	91	Manasseh	-	manasseh-king-of-judah
Joshua 13:8	74	Moses	moses	moses
Joshua 13:8	127	Moses	moses	moses
Joshua 13:12	126	Moses	moses	moses
Joshua 13:14	44	Levi	-	matthew-levi
Joshua 13:15	0	Moses	moses	moses
Joshua 13:21	109	Moses	moses	moses
Joshua 13:22	35	Balaam	balaam	balaam
Joshua 13:24	0	Moses	moses	moses
Joshua 13:29	0	Moses	moses	moses
Joshua 13:29	47	Manasseh	-	manasseh-king-of-judah
Joshua 13:29	102	Manasseh	-	manasseh-king-of-judah
Joshua 13:31	121	Manasseh	-	manasseh-king-of-judah
Joshua 13:32	33	Moses	moses	moses
Joshua 13:33	4	Moses	moses	moses
Joshua 13:33	46	Levi	-	matthew-levi
Joshua 14:1	90	Eleazar	-	eleazar-in-jesus-genealogy
Joshua 14:1	110	Joshua	joshua	joshua
Joshua 14:2	56	Moses	moses	moses
Joshua 14:3	4	Moses	moses	moses
Joshua 14:4	20	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Joshua 14:4	44	Manasseh	-	manasseh-king-of-judah
Joshua 14:5	47	Moses	moses	moses
Joshua 14:6	40	Joshua	joshua	joshua
Joshua 14:6	58	Caleb	caleb	caleb
Joshua 14:6	153	Moses	moses	moses
Joshua 14:7	27	Moses	moses	moses
Joshua 14:9	0	Moses	moses	moses
Joshua 14:10	122	Moses	moses	moses
Joshua 14:11	53	Moses	moses	moses
Joshua 14:13	0	Joshua	joshua	joshua
Joshua 14:13	42	Caleb	caleb	caleb
Joshua 14:14	43	Caleb	caleb	caleb
Joshua 15:3	141	Hezron	-	hezron-son-of-perez
Joshua 15:13	11	Caleb	caleb	caleb
Joshua 15:13	119	Joshua	joshua	joshua
Joshua 15:14	0	Caleb	caleb	caleb
Joshua 15:16	0	Caleb	caleb	caleb
Joshua 15:17	41	Caleb	caleb	caleb
Joshua 15:18	86	Caleb	caleb	caleb
Joshua 15:25	24	Hezron	-	hezron-son-of-perez
Joshua 16:1	37	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Joshua 16:4	16	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Joshua 16:4	24	Manasseh	-	manasseh-king-of-judah
Joshua 16:9	126	Manasseh	-	manasseh-king-of-judah
Joshua 17:1	34	Manasseh	-	manasseh-king-of-judah
Joshua 17:1	72	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Joshua 17:1	111	Manasseh	-	manasseh-king-of-judah
Joshua 17:2	44	Manasseh	-	manasseh-king-of-judah
Joshua 17:2	288	Manasseh	-	manasseh-king-of-judah
Joshua 17:2	308	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Joshua 17:3	84	Manasseh	-	manasseh-king-of-judah
Joshua 17:3	168	Noah	noah	noah
Joshua 17:4	13	Eleazar	-	eleazar-in-jesus-genealogy
Joshua 17:4	40	Joshua	joshua	joshua
Joshua 17:4	109	Moses	moses	moses
Joshua 17:5	18	Manasseh	-	manasseh-king-of-judah
Joshua 17:6	25	Manasseh	-	manasseh-king-of-judah
Joshua 17:6	124	Manasseh	-	manasseh-king-of-judah
Joshua 17:7	14	Manasseh	-	manasseh-king-of-judah
Joshua 17:8	32	Manasseh	-	manasseh-king-of-judah
Joshua 17:8	71	Manasseh	-	manasseh-king-of-judah
Joshua 17:9	121	Manasseh	-	manasseh-king-of-judah
Joshua 17:9	145	Manasseh	-	manasseh-king-of-judah
Joshua 17:10	49	Manasseh	-	manasseh-king-of-judah
Joshua 17:11	0	Manasseh	-	manasseh-king-of-judah
Joshua 17:12	20	Manasseh	-	manasseh-king-of-judah
Joshua 17:14	16	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Joshua 17:14	32	Joshua	joshua	joshua
Joshua 17:15	0	Joshua	joshua	joshua
Joshua 17:16	16	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Joshua 17:17	0	Joshua	joshua	joshua
Joshua 17:17	29	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Joshua 17:17	64	Manasseh	-	manasseh-king-of-judah
Joshua 18:3	0	Joshua	joshua	joshua
Joshua 18:5	105	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Joshua 18:7	134	Manasseh	-	manasseh-king-of-judah
Joshua 18:7	201	Moses	moses	moses
Joshua 18:8	24	Joshua	joshua	joshua
Joshua 18:9	112	Joshua	joshua	joshua
Joshua 18:10	0	Joshua	joshua	joshua
Joshua 18:10	57	Joshua	joshua	joshua
Joshua 18:11	169	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Joshua 19:1	28	Simeon	-	simeon-at-the-temple
Joshua 19:1	74	Simeon	-	simeon-at-the-temple
Joshua 19:8	144	Simeon	-	simeon-at-the-temple
Joshua 19:9	80	Simeon	-	simeon-at-the-temple
Joshua 19:9	178	Simeon	-	simeon-at-the-temple
Joshua 19:49	117	Joshua	joshua	joshua
Joshua 19:51	34	Eleazar	-	eleazar-in-jesus-genealogy
Joshua 19:51	54	Joshua	joshua	joshua
Joshua 20:1	16	Joshua	joshua	joshua
Joshua 20:2	99	Moses	moses	moses
Joshua 20:8	200	Manasseh	-	manasseh-king-of-judah
Joshua 21:1	62	Eleazar	-	eleazar-in-jesus-genealogy
Joshua 21:1	89	Joshua	joshua	joshua
Joshua 21:2	86	Moses	moses	moses
Joshua 21:4	69	Aaron	aaron	aaron
Joshua 21:5	156	Manasseh	-	manasseh-king-of-judah
Joshua 21:6	183	Manasseh	-	manasseh-king-of-judah
Joshua 21:8	106	Moses	moses	moses
Joshua 21:9	93	Simeon	-	simeon-at-the-temple
Joshua 21:10	34	Aaron	aaron	aaron
Joshua 21:10	104	Levi	-	matthew-levi
Joshua 21:12	57	Caleb	caleb	caleb
Joshua 21:13	19	Aaron	aaron	aaron
Joshua 21:19	34	Aaron	aaron	aaron
Joshua 21:25	25	Manasseh	-	manasseh-king-of-judah
Joshua 21:27	95	Manasseh	-	manasseh-king-of-judah
Joshua 22:1	5	Joshua	joshua	joshua
Joshua 22:1	70	Manasseh	-	manasseh-king-of-judah
Joshua 22:2	42	Moses	moses	moses
Joshua 22:4	155	Moses	moses	moses
Joshua 22:5	64	Moses	moses	moses
Joshua 22:6	3	Joshua	joshua	joshua
Joshua 22:7	29	Manasseh	-	manasseh-king-of-judah
Joshua 22:7	38	Moses	moses	moses
Joshua 22:7	104	Joshua	joshua	joshua
Joshua 22:7	174	Joshua	joshua	joshua
Joshua 22:9	69	Manasseh	-	manasseh-king-of-judah
Joshua 22:9	298	Moses	moses	moses
Joshua 22:10	147	Manasseh	-	manasseh-king-of-judah
Joshua 22:11	113	Manasseh	-	manasseh-king-of-judah
Joshua 22:13	108	Manasseh	-	manasseh-king-of-judah
Joshua 22:13	163	Eleazar	-	eleazar-in-jesus-genealogy
Joshua 22:15	90	Manasseh	-	manasseh-king-of-judah
Joshua 22:20	24	Zerah	zerah-son-of-judah	zerah-son-of-judah
Joshua 22:21	74	Manasseh	-	manasseh-king-of-judah
Joshua 22:30	213	Manasseh	-	manasseh-king-of-judah
Joshua 22:31	20	Eleazar	-	eleazar-in-jesus-genealogy
Joshua 22:31	118	Manasseh	-	manasseh-king-of-judah
Joshua 22:32	20	Eleazar	-	eleazar-in-jesus-genealogy
Joshua 23:1	89	Joshua	joshua	joshua
Joshua 23:2	0	Joshua	joshua	joshua
Joshua 24:1	0	Joshua	joshua	joshua
Joshua 24:2	0	Joshua	joshua	joshua
Joshua 24:2	140	Abraham	abraham	abraham
Joshua 24:3	19	Abraham	abraham	abraham
Joshua 24:3	140	Isaac	isaac	isaac
Joshua 24:4	10	Isaac	isaac	isaac
Joshua 24:4	16	Jacob	jacob	jacob
Joshua 24:4	26	Esau	esau	esau
Joshua 24:4	46	Esau	esau	esau
Joshua 24:4	78	Jacob	jacob	jacob
Joshua 24:5	9	Moses	moses	moses
Joshua 24:5	19	Aaron	aaron	aaron
Joshua 24:9	96	Balaam	balaam	balaam
Joshua 24:10	26	Balaam	balaam	balaam
Joshua 24:19	0	Joshua	joshua	joshua
Joshua 24:21	19	Joshua	joshua	joshua
Joshua 24:22	0	Joshua	joshua	joshua
Joshua 24:24	19	Joshua	joshua	joshua
Joshua 24:25	3	Joshua	joshua	joshua
Joshua 24:26	0	Joshua	joshua	joshua
Joshua 24:27	0	Joshua	joshua	joshua
Joshua 24:28	3	Joshua	joshua	joshua
Joshua 24:29	20	Joshua	joshua	joshua
Joshua 24:31	37	Joshua	joshua	joshua
Joshua 24:31	89	Joshua	joshua	joshua
Joshua 24:32	25	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Joshua 24:32	129	Jacob	jacob	jacob
Joshua 24:32	266	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Joshua 24:33	0	Eleazar	-	eleazar-in-jesus-genealogy
Joshua 24:33	19	Aaron	aaron	aaron
Judges 1:3	14	Simeon	-	simeon-at-the-temple
Judges 1:3	157	Simeon	-	simeon-at-the-temple
Judges 1:12	0	Caleb	caleb	caleb
Judges 1:13	26	Caleb	caleb	caleb
Judges 1:14	101	Caleb	caleb	caleb
Judges 1:15	125	Caleb	caleb	caleb
Judges 1:16	28	Moses	moses	moses
Judges 1:17	16	Simeon	-	simeon-at-the-temple
Judges 1:20	20	Caleb	caleb	caleb
Judges 1:20	30	Moses	moses	moses
Judges 1:22	13	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Judges 1:23	13	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Judges 1:27	0	Manasseh	-	manasseh-king-of-judah
Judges 1:35	103	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Judges 2:6	9	Joshua	-	joshua
Judges 2:7	41	Joshua	-	joshua
Judges 2:7	93	Joshua	-	joshua
Judges 2:8	0	Joshua	-	joshua
Judges 2:21	56	Joshua	-	joshua
Judges 2:23	92	Joshua	-	joshua
Judges 3:4	135	Moses	moses	moses
Judges 3:9	145	Caleb	caleb	caleb
Judges 4:4	4	Deborah	deborah	deborah
Judges 4:5	16	Deborah	deborah	deborah
Judges 4:9	153	Deborah	deborah	deborah
Judges 4:10	93	Deborah	deborah	deborah
Judges 4:11	94	Moses	moses	moses
Judges 4:14	0	Deborah	deborah	deborah
Judges 5:1	5	Deborah	deborah	deborah
Judges 5:7	50	Deborah	deborah	deborah
Judges 5:12	15	Deborah	deborah	deborah
Judges 5:15	34	Deborah	deborah	deborah
Judges 6:11	110	Gideon	gideon	gideon
Judges 6:13	0	Gideon	gideon	gideon
Judges 6:15	86	Manasseh	-	manasseh-king-of-judah
Judges 6:19	0	Gideon	gideon	gideon
Judges 6:22	0	Gideon	gideon	gideon
Judges 6:22	43	Gideon	gideon	gideon
Judges 6:24	5	Gideon	gideon	gideon
Judges 6:27	5	Gideon	gideon	gideon
Judges 6:29	95	Gideon	gideon	gideon
Judges 6:34	28	Gideon	gideon	gideon
Judges 6:35	34	Manasseh	-	manasseh-king-of-judah
Judges 6:36	0	Gideon	gideon	gideon
Judges 6:39	0	Gideon	gideon	gideon
Judges 7:1	5	Jerubbaal	gideon	gideon
Judges 7:1	23	Gideon	gideon	gideon
Judges 7:2	15	Gideon	gideon	gideon
Judges 7:4	15	Gideon	gideon	gideon
Judges 7:5	63	Gideon	gideon	gideon
Judges 7:7	15	Gideon	gideon	gideon
Judges 7:13	5	Gideon	gideon	gideon
Judges 7:14	62	Gideon	gideon	gideon
Judges 7:15	16	Gideon	gideon	gideon
Judges 7:18	142	Gideon	gideon	gideon
Judges 7:19	3	Gideon	gideon	gideon
Judges 7:20	205	Gideon	gideon	gideon
Judges 7:22	198	Abel	abel	abel
Judges 7:23	91	Manasseh	-	manasseh-king-of-judah
Judges 7:24	0	Gideon	gideon	gideon
Judges 7:25	196	Gideon	gideon	gideon
Judges 8:4	0	Gideon	gideon	gideon
Judges 8:7	0	Gideon	gideon	gideon
Judges 8:11	0	Gideon	gideon	gideon
Judges 8:13	0	Gideon	gideon	gideon
Judges 8:21	92	Gideon	gideon	gideon
Judges 8:22	31	Gideon	gideon	gideon
Judges 8:23	0	Gideon	gideon	gideon
Judges 8:24	0	Gideon	gideon	gideon
Judges 8:27	0	Gideon	gideon	gideon
Judges 8:27	142	Gideon	gideon	gideon
Judges 8:28	138	Gideon	gideon	gideon
Judges 8:29	0	Jerubbaal	gideon	gideon
Judges 8:30	0	Gideon	gideon	gideon
Judges 8:32	0	Gideon	gideon	gideon
Judges 8:33	11	Gideon	gideon	gideon
Judges 8:35	47	Jerubbaal	gideon	gideon
Judges 8:35	67	Gideon	gideon	gideon
Judges 9:1	21	Jerubbaal	gideon	gideon
Judges 9:2	96	Jerubbaal	gideon	gideon
Judges 9:5	77	Jerubbaal	gideon	gideon
Judges 9:5	129	Jotham	-	jotham-king-of-judah
Judges 9:5	156	Jerubbaal	gideon	gideon
Judges 9:7	21	Jotham	-	jotham-king-of-judah
